Iteration,Num_Features,Feature_Indices,Accuracy
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 28]",78.7
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 29]",78.4
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 30]",76.4
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 31]",77.3
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 34]",77.7
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 37]",79.1
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 38]",77.5
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 39]",78.1
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 40]",76.2
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 41]",79.2
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 42]",78.4
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 43]",76.1
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 44]",78.3
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 45]",76.9
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46]",79.5
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 47]",78.8
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 49]",77.2
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 1]",76.9
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 2]",79.4
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 4]",77.8
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 5]",77.0
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 6]",77.1
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 7]",76.7
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 10]",76.8
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 12]",78.0
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 13]",76.8
12,12,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 46, 14]",77.7
